station_name	latitude	longitude	elevation	Instrumentation	start_date	start_time
TAP026	25.017	121.503	577	ETNA	9908	08140
TAP026	25.015	121.512	577	ETNA	0814	14141
TAP026	25.015	121.511	227	NANO	1 1317	99999
TAP027	25.0	121.493	268	IDS	9208	99080
TAP027	25.0	121.493	248	A900	9912	08140
TAP027	24.998	121.501	248	A900	0814	?13241
TAP027	24.998	121.501	264	A900	0923	13241
TAP027	24.998	121.502	347	NANO	1 1324	99999
TAP028	25.003	121.508	269	IDS	9208	99080
TAP028	25.003	121.508	576	ETNA	9908	08140
TAP028	25.003	121.517	576	ETNA	1 0814	99999
TAP029	25.008	121.527	270	IDS	9210	99062
TAP029	25.008	121.527	992	ETNA	1 9906	01160
TAP029	25.008	121.527	502	A900	0116	08140
TAP029	25.007	121.535	502	A900	1 0814	14152
TAP029	25.007	121.535	198	NANO	1 1415	99999
TAP030	25.0	121.531	271	IDS	9210	99062
TAP030	25.0	121.531	508	A900	0116	05182
TAP030	25.0	121.531	234	A900	0519	08140
TAP030	24.997	121.539	234	A900	0814	12242
TAP030	24.997	121.539	156	NANO	1 1224	19141
TAP030	24.997	121.539	336	SMTA	1 1914	99999
TAP031	25.022	121.541	272	IDS	9210	99062
TAP031	25.022	121.541	983	ETNA	1 9907	08140
TAP031	25.02	121.549	983	ETNA	1 0814	99999
TAP032	25.0	121.474	094	A900	1 9308	08140
TAP032	24.998	121.482	094	A900	1 0814	12242
TAP032	24.998	121.483	124	NANO	1 1224	99999
TAP033	24.978	121.529	244	A900	1 9309	08140
TAP033	24.977	121.538	244	A900	1 0814	13242
TAP033	24.978	121.538	315	NANO	1 1324	99999
TAP034	24.955	121.531	236	A900	1 9309	08140
TAP034	24.953	121.539	236	A900	1 0814	13232
TAP034	24.953	121.539	225	NANO	1 1317	16190
TAP034	24.953	121.539	193	NANO	1 1619	16202
TAP034	24.953	121.539	225	NANO	1 1620	16243
TAP034	24.953	121.539	314	NANO	1 1717	18152
TAP034	24.953	121.539	225	NANO	1 1815	99999
TAP035	24.923	121.538	041	A900	1 9308	08140
TAP035	24.922	121.546	041	A900	1 0814	12241
TAP035	24.922	121.546	105	NANO	1 1224	99999
TAP036	24.903	121.545	234	A900	1 9308	05182
TAP036	24.903	121.545	508	A900	1 0518	05243
TAP036	24.903	121.545	508	A900	1 0613	08140
TAP036	24.902	121.553	508	A900	1 0814	09191
TAP036	24.902	121.553	136	SMTA	1 0919	09223
TAP036	24.902	121.553	673	SMTA	1 0922	16172
TAP036	24.902	121.553	381	SMTA	1 1617	99999
TAP037	25.035	121.433	010	A900	1 9309	08140
TAP037	25.033	121.442	010	A900	1 0814	13242
TAP037	25.033	121.442	340	NANO	1 1324	99999
TAP038	25.023	121.41	263	A900	1 9309	08140
TAP038	25.022	121.419	263	A900	1 0814	12240
TAP038	25.022	121.419	146	NANO	1 1224	99999
TAP039	24.937	121.361	022	A900	1 9309	08140
TAP039	24.935	121.369	022	A900	1 0814	12240
TAP039	24.935	121.37	136	NANO	1 1224	99999
TAP040	25.175	121.433	136	A900	1 9309	08140
TAP040	25.173	121.442	136	A900	1 0814	12240
TAP040	25.172	121.442	104	NANO	1 1224	99999
TAP041	25.182	121.417	103	A900	9309	06132
TAP041	25.182	121.417	255	A900	0613	08140
TAP041	25.18	121.425	255	A900	0814	13241
TAP041	25.182	121.424	387	NANO	1 1324	99999
TAP042	25.127	121.456	008	A900	1 9309	08140
TAP042	25.125	121.464	008	A900	1 0814	13241
TAP042	25.125	121.464	375	NANO	1 1324	99999
TAP043	24.99	121.41	092	A900	1 9309	08140
TAP043	24.988	121.418	092	A900	1 0814	12240
TAP043	24.988	121.418	148	NANO	1 1224	16241
TAP043	24.988	121.418	174	NANO	1 1624	17140
TAP043	24.988	121.418	148	NANO	1 1714	99999
TAP044	24.977	121.394	057	A900	1 9309	08140
TAP044	24.975	121.403	057	A900	1 0814	13242
TAP044	24.973	121.402	317	NANO	1 1324	99999
TAP045	25.11	121.815	174	A900	1 9309	08140
TAP045	25.108	121.823	174	A900	1 0814	12240
TAP045	25.108	121.823	150	NANO	1 1224	99999
TAP046	25.103	121.769	125	A900	1 9309	08140
TAP046	25.102	121.777	125	A900	1 0814	13193
TAP046	25.102	121.777	224	NANO	1 1316	99999
TAP047	24.953	121.338	229	A900	1 9309	08140
TAP047	24.952	121.346	229	A900	1 0814	12240
TAP047	24.952	121.344	109	NANO	1 1224	99999
TAP048	24.973	121.434	045	A900	1 9309	96073
TAP049	25.148	121.437	071	A900	1 9309	08140
TAP049	25.147	121.445	071	A900	1 0814	12240
TAP049	25.147	121.445	106	NANO	1 1224	99999
TAP050	25.15	121.395	242	A900	1 9309	01232
TAP050	25.15	121.395	564	A900	1 0222	08140
TAP050	25.148	121.403	564	A900	1 0814	13232
TAP050	25.15	121.404	219	NANO	1 1316	99999
TAP051	25.1	121.442	007	A900	1 9309	08140
TAP051	25.098	121.451	007	A900	1 0814	12233
TAP051	25.098	121.449	110	NANO	1 1223	16172
TAP051	25.098	121.449	431	SMTA	1 1617	18220
TAP051	25.098	121.449	486	NANO	1 1822	99999
TAP052	25.082	121.382	130	A900	1 9309	95123
TAP052	25.082	121.382	130	A900	1 9608	08140
TAP052	25.08	121.39	130	A900	1 0814	12240
TAP052	25.08	121.39	186	NANO	1 1224	99999
TAP053	24.96	121.516	123	A900	1 9308	00191
