station_name	lattitude	longitude	elevation	Instrumentation
TCU069	24.2583	120.831	571	NANO
TCU070	24.195	120.5475	485	A900
TCU070	24.195	120.5475	447	SMTA
TCU070	24.195	120.5475	470	NANO
TCU071	23.985	120.7878	063	A900
TCU071	23.9833	120.7952	186	SMTA
TCU071	23.9833	120.7952	471	NANO
TCU072	24.0433	120.8467	209	A900
TCU072	24.0383	120.858	428	SMTA
TCU073	24.0117	120.9572	505	A900
TCU073	24.0117	120.9573	188	SMTA
TCU074	23.96	120.9705	505	A900
TCU074	23.96	120.9712	152	SMTA
TCU075	23.9833	120.6792	173	A900
TCU075	23.98	120.6877	188	CV57
TCU075	23.98	120.6877	507	SMTA
TCU076	23.9067	120.6755	091	A900
TCU076	23.905	120.6835	398	SMTA
TCU076	23.905	120.6835	222	NANO
TCU077	23.8283	120.7787	218	A900
TCU077	23.8267	120.7873	206	SMTA
TCU077	23.8267	120.7873	497	NANO
TCU078	23.8117	120.847	020	A900
TCU078	23.8083	120.8543	425	SMTA
TCU078	23.8083	120.8543	397	NANO
TCU079	23.8383	120.894	121	A900
TCU079	23.8367	120.9022	430	SMTA
TCU080	23.9017	120.9298	074	A900
TCU080	23.9	120.9378	422	SMTA
TCU081	24.8267	121.0142	367	A900
TCU081	24.8283	121.0142	237	SMTA
TCU082	24.145	120.684	374	A900
TCU082	24.145	120.6842	245	SMTA
TCU083	24.9667	121.1945	442	A900
TCU083	24.9667	121.1943	247	SMTA
TCU084	23.88	120.9082	448	A900
TCU084	23.88	120.9082	203	SMTA
TCU085	24.6733	121.3667	355	A900
TCU085	24.6733	121.3665	383	SMTA
TCU086	23.86	120.289	313	A900
TCU086	23.8617	120.2892	194	SMTA
TCU087	24.345	120.7808	447	A900
TCU087	24.345	120.7808	908	SMTA
TCU088	24.2483	121.1615	318	A900
TCU088	24.2483	121.1618	514	SMTA
TCU089	23.905	120.8697	351	A900
TCU089	23.905	120.8698	179	SMTA
TCU090	23.645	120.6563	179	SMTA
TCU090	23.645	120.6563	351	A900
TCU090	23.645	120.6558	228	NANO
TCU091	24.98	121.2702	253	A900
TCU091	24.98	121.27	192	NANO
TCU092	25.0083	121.2872	238	A900
TCU092	25.01	121.2868	306	NANO
TCU093	24.85	120.955	100	A900
TCU093	24.85	120.9552	135	NANO
TCU094	24.7667	121.0578	012	A900
TCU094	24.7667	121.0582	187	NANO
