201904180501 07.1124 3.2612133.55 20.336.3299  4.0 330.33 0.2 0.1 F674B 16180500.P19663   
 MND001 3   78.46    6.02   9.94   9.42  50.0 T499001.108  A900 20190418050112.  284.     
 MTN138 3   78.62   13.48  16.66  20.60 200.4 41810800.MNS NANO 20190418050023.  344.     
 MTN153 3   78.76    5.86   7.88   9.04  72.0 T166001.108  A900 20190418050110.  338.     
 TCU174 3   78.89    5.22  11.42   8.88 222.6 48410800.MNS NANO 20190418050026.  284.     
 MTN150 3   78.96    6.10   9.40   9.34  78.0 T043001.245  A900 20190418050114.  284.     
 ILA004 4   79.84   13.62  45.76  75.32 262.1 52210800.MNS NANO 20190418050023.   17.     
 ILA028 4   79.94   23.36  67.68  73.36  88.0 08910800.CVA CVA  20190418050109.   14.     
 ILA055 4   79.95   17.68  73.92  77.08 120.0 D0410800.SMT SMTA 20190418050100.   19.     
 ILA070 5   80.09   25.90  60.78  82.08 300.0 M3910800.SMT SMTA 20190418050000.   14.     
 TRB039 4   80.11   15.40  43.92  61.68  95.0 01610800.CVA CVA  20190418050047.   15.     
 TAP129 4   80.27   15.54  32.08  22.02 240.0 O6810800.SMT SMTA 20190418050000.  356.     
 ILA039 4   80.45   16.72  59.44  51.20 300.0 N1710800.SMT SMTA 20190418050000.   12.     
 TCU185 3   80.86    7.22   9.52  13.12 180.0 F3610800.SMT SMTA 20190418050000.  300.     
 ILA049 4   81.09   16.20  39.96  45.16 120.0 C8810800.SMT SMTA 20190418050100.   14.     
 ILA015 4   81.51   17.44  56.42  33.28 240.0 O2510800.SMT SMTA 20190418050000.   10.     
 TCU025 3   81.59    5.96  10.62   9.08 240.0 O2110800.SMT SMTA 20190418050000.  332.     
 ILA029 4   81.84   19.08  42.20  43.10 225.9 23710800.MNS NANO 20190418050027.   14.     
 HWA073 3   82.05    4.10   8.90  10.54  60.0 F2910800.SMT SMTA 20190418050100.  197.     
 HWA024 2   82.10    6.42   6.50   6.28  60.0 F2310800.SMT SMTA 20190418050100.  198.     
 TCU204 3   82.11    5.50  10.80   9.66 240.0 L8310800.SMT SMTA 20190418050000.  241.     
 ILA056 4   82.23   11.94  47.66  57.86 120.0 D1310800.SMT SMTA 20190418050100.   18.     
 TTN001 3   82.47    4.18   7.42   8.02 240.0 N0310800.SMT SMTA 20190418050000.  188.     
 TCU077 3   82.50    4.40  11.48  13.30 214.1 49710800.MNS NANO 20190418050034.  252.     
 ILA012 4   82.51   19.82  32.26  47.42  87.0 07910800.CVA CVA  20190418050050.   13.     
 ILA040 4   83.16   15.32  51.66  76.14 120.0 D8710800.SMT SMTA 20190418050100.   17.     
 TCU143 3   83.27    9.36  16.28  16.92 226.5 57810800.MNS NANO 20190418050028.  257.     
 TCU068 3   83.55    4.80  13.68   8.10 217.9 53710800.MNS NANO 20190418050032.  287.     
 MTN151 3   83.72   14.30  23.06  20.48  90.0 T098001.108  A900 20190418050105.  280.     
 HWA065 3   83.95    3.48   8.38   9.74 203.8 35710800.MNS NANO 20190418050035.  197.     
 TRB034 3   84.00    4.66  13.16  13.56  51.0 02410800.CVA CVA  20190418050037.  197.     
 TCU045 3   84.23    8.36  11.74   8.62 209.0 52310800.MNS NANO 20190418050025.  310.     
 HWA055 3   84.27    4.80   9.86   8.70  61.0 09510800.CVA CVA  20190418050026.  195.     
 TCU046 3   84.28    5.64  10.18   7.76 300.0 L6310800.SMT SMTA 20190418045800.  303.     
 TCU067 3   84.59    8.18  11.60  11.64 240.0 M0510800.SMT SMTA 20190418050000.  273.     
 TCU196 3   84.64    4.46  10.04  12.98 120.0 D7710800.SMT SMTA 20190418050100.  234.     
 TCU127 3   84.73    7.02  10.28  10.16 120.0 G6810800.SMT SMTA 20190418050100.  319.     
 TCU023 4   85.11    9.74  18.18  25.66 234.1 56910800.MNS NANO 20190418050025.  330.     
 TCU087 3   85.43    9.60  16.44  10.26 120.0 J0810800.SMT SMTA 20190418050100.  292.     
 TCU186 3   85.65    9.62  20.40  21.90 240.0 O4710800.SMT SMTA 20190418050000.  344.     
 TCU197 3   85.68    8.48  13.16  10.48 240.0 O6510800.SMT SMTA 20190418050000.  320.     
 TCU170 2   86.06    4.02   7.06   7.96 208.6 45110800.MNS NANO 20190418050026.  277.     
 MTN143 3   86.23    8.84  20.92  18.64  85.0 T418001.245  A900 20190418050105.  335.     
