STAID	Vs30	Z1
TAP108	313.105133579479	283
TAP109	406.186470469274	212
TAP110	223.578690978551	146
TAP111	390.603538158203	118.8
TAP113	612.8077	17
TAP114	722.28	43
TAP115	462.091441784855	44
TAP116	226.759458670674	429
TAP117	408.230465756448	146
TAP118	173.521293772395	135
TAP119	354.318492468009	95
TAP121	583.95	56
TAP122	546.06602527998	60.427
TAP123	440.72	409.6
TAP124	655.740832288145	34.8246
TAP125	413.847671715012	124.769
TAP126	322.383728274425	210.8433
TAW	842.815002107038	13.5
TCU	469.3734	60
TCU001	570.2338	176
TCU002	502.1341	196
TCU003	507.228	175
TCU004	518.806744487678	184
TCU005	491.2396	212
TCU006	612.0575	19
TCU007	427.474359185518	154
TCU008	468.182283336932	70
TCU009	465.9832	112
TCU010	466.894020297027	112
TCU011	811.1397	16
TCU012	644.7453	141
TCU013	462.349805528114	91
TCU014	523.2406	19
TCU015	430.6323	184
TCU016	485.4762	69
TCU017	548.245614035088	206
TCU018	619.9	92
TCU019	505.9875	196
TCU020	488.9975	91
TCU021	446.4286	25
TCU022	436.6494	172
TCU023	555.1957	52
TCU024	383.2152	39
TCU025	506.47	29
TCU026	606.4894	59
TCU027	670.3911	20
TCU028	524.9344	38
TCU029	404.831	35
TCU030	624.6746	110
TCU031	476.3039	93
TCU032	500.2501	48
TCU033	420.5509	126
TCU034	391.5682	36
TCU035	378.1195	114
TCU036	483.1307	66
TCU037	463.4636	248
TCU038	306.012938249595	242
TCU039	549.5512	38
TCU040	336.191	78
TCU041	448.580698479255	86
TCU042	573.5041	43
TCU043	539.9568	71
TCU044	508.3453	27
TCU045	706.9636	21
TCU046	462.606	32
TCU047	522.967	33
TCU048	558.3572	89
TCU049	469.7409	145
TCU050	539.3258	58
TCU051	420.106425623728	73
TCU052	589.2173	49
TCU053	452.1136	155
TCU054	436.9992	186
TCU055	423.805654798082	84
TCU056	401.1902	53
TCU057	514.090257829687	49
TCU058	650.91	90
TCU059	232.1892	73
TCU060	605.2048	61
TCU061	365.2968	272
TCU062	451.0261	66
TCU063	476.1527	157
TCU064	646.97	62
TCU065	290.1073	124.5
TCU066	582.694	147.5
TCU067	440.3023	34
TCU068	489.9959	67
TCU069	554.7337	84
TCU070	396.4845	59
TCU071	614.7541	34
TCU072	471.8836	66
TCU073	640.94	117
TCU074	558.2434	130
TCU075	521.2406	58.6
TCU076	573.2302	26
TCU077	507.4854	38
TCU078	444.5432	41
TCU079	353.9405	73
TCU080	654.37	11
TCU081	427.1375	91
TCU082	469.3734	60
TCU083	370.7136	87
TCU084	733.78	23
TCU085	1037.8827	12.5
TCU086	222.8992	761.4
TCU087	460.48	56
TCU088	569.88	19
TCU089	471.01	82
TCU090	550.863	26
TCU091	625.61	72
TCU092	644.2	79
TCU093	233.597745425643	160
TCU094	581.4517	119
TCU095	454.0982	93.3
TCU096	456.8992	133
TCU097	611.28	86
TCU098	346.286112849615	83
TCU099	424.186152706223	52
TCU100	500.817307993104	60
TCU101	720.69	20
TCU102	706.2054	37
TCU103	488.6789	53
TCU104	403.4698	104
